"id","product_name","product_code","description","selling_price","max_selling_price","min_discount","warranty","created_at","updated_at","deleted_at","disable","tran_limit","gst","cgst","sgst","weight_kg","volumetric_weight","moq","transfer_price","is_deleted","created_by_id","deleted_by_id","group_id","serial_status_id","updated_by_id"
"1","22' MONITOR - P2213",NULL,NULL,"0.00","0.00","0.00",13,NULL,NULL,NULL,False,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,False,1,NULL,"1","1",NULL
"2","22' MONITOR - P2214H",NULL,NULL,"0.00","0.00","0.00",13,NULL,NULL,NULL,False,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,False,1,NULL,"1","1",NULL
"3","24' MONITOR - P2414H",NULL,NULL,"0.00","0.00","0.00",13,NULL,NULL,NULL,False,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,False,1,NULL,"1","1",NULL
"4","4.1 MULTIMEDIA SPEAKER",NULL,NULL,"0.00","0.00","0.00",13,NULL,NULL,"2020-12-22 19:09:15+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"2","1",NULL
"5","A C Col Powder 1215 40grm Black",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:08:37+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"6","A C Col Powder 1215 40grm Cyan",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:08:34+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"7","A C Col Powder 1215 40grm Magenta",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:08:32+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"8","A C Col Powder 1215 40grm Yellow",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:08:18+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"9","ARYAN 12A DOCTOR BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:57+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"10","ARYAN 12A LOWER ROLLER",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:51+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"11","ARYAN 12A MAGNET ROLLER",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:44+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"12","ARYAN 12A PCR",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:37+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"13","ARYAN 12A PRASSER ROLLER",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:27+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"14","ARYAN 12A TEFLON",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:24+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"15","ARYAN 12A WIPPER BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:22+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"16","ARYAN 1666 DOCTOR BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:19+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"17","ARYAN 1666 WIPER BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:17+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"18","ARYAN 88A DOCTOR BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:12+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"19","ARYAN 88A MAGNET ROLLER",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:09+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"20","ARYAN 88A PCR",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:07+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"21","ARYAN 88A PRASSER ROLLER",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:05+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"22","ARYAN 88A WIPPER BLADE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:03+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"23","Aryan Extra Premium Toner Powder 120g",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:07:01+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"24","Aryan Extra Premium Toner Powder 140g",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:58+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"25","Aryan Magic 500grm Bottle",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:52+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"26","ARYAN OPC DRUM 101 BROWN",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:50+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"27","ARYAN OPC DRUM 1215",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:47+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"28","ARYAN OPC DRUM 12A BLUE",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:44+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"29","ARYAN OPC DRUM 12A GREEN",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:42+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"30","ARYAN OPC DRUM 12A OEM",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:40+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"31","ARYAN OPC DRUM 1610 GREEN",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:35+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
"32","ARYAN OPC DRUM 1666 BROWN",NULL,NULL,"0.00","0.00","0.00",12,NULL,NULL,"2020-12-22 19:06:32+05:45",True,"0.00","18.00",NULL,NULL,"0.00","0.00",0,NULL,True,1,1,"3","2",NULL
